['2018-04-19', 11468532.4, '82.65', '86.20', '86.28', None]
['2018-04-23', 149242.5, '84.14', '86.53', '86.92', None]
['2018-04-24', 738616.19, '84.45', '87.17', '86.50', None]
['2018-04-26', 119852.0, '86.10', '89.25', '85.43', None]
['2018-04-27', 494642.27, '86.08', '89.99', '86.23', None]
['2018-04-27', 118833803.8, '86.08', '89.99', '86.23', None]
['2018-04-30', 109854.44, '86.42', '90.84', '86.21', None]
['2018-04-30', 139783.86, '86.42', '90.84', '86.21', None]
['2018-05-03', 104983.05, '86.70', '90.62', '84.96', None]
['2018-05-03', 7666186.6, '86.70', '90.62', '84.96', None]
['2018-05-03', 2653186.84, '86.70', '90.62', '84.96', None]
['2018-05-03', 151491.0, '86.70', '90.62', '84.96', None]
['2018-05-03', 4614645.57, '86.70', '90.62', '84.96', None]
['2018-05-03', 1959497.0, '86.70', '90.62', '84.96', None]
['2018-05-03', 267326.0, '86.70', '90.62', '84.96', None]
['2018-05-03', 3430707.0, '86.70', '90.62', '84.96', None]
['2018-05-03', 126548.72, '86.70', '90.62', '84.96', None]
['2018-05-04', 7666186.6, '86.75', '88.80', '85.30', None]
['2018-05-04', 293960.0, '86.75', '88.80', '85.30', None]
['2018-05-04', 1285000.0, '86.75', '88.80', '85.30', None]
['2018-05-04', 32191381.19, '86.75', '88.80', '85.30', None]
['2018-05-07', 132001.98, '86.95', '86.91', '86.48', None]
['2018-05-08', 225012.48, '86.20', '86.83', '86.39', None]
['2018-05-08', 293840.0, '86.20', '86.83', '86.39', None]
['2018-05-08', 111949.36, '86.20', '86.83', '86.39', None]
['2018-05-09', 700479.0, '86.44', '85.69', '87.11', None]
['2018-05-14', 9253831.1, '87.17', '85.18', '86.72', None]
['2018-05-15', 1562412.98, '87.87', '85.87', '87.63', None]
['2018-05-16', 3430707.0, '89.25', '87.96', '87.63', None]
['2018-05-16', 267326.0, '89.25', '87.96', '87.63', None]
['2018-05-17', 238627.98, '89.99', '88.48', '88.72', None]
['2018-05-17', 283391.99, '89.99', '88.48', '88.72', None]
['2018-05-21', 106437.5, '90.00', '87.87', '89.79', None]
['2018-05-21', 101774.25, '90.00', '87.87', '89.79', None]
['2018-05-21', 192867.84, '90.00', '87.87', '89.79', None]
['2018-05-21', 419000.0, '90.00', '87.87', '89.79', None]
['2018-05-23', 200358.7, '90.62', '88.45', '91.08', None]
['2018-05-23', 241114.32, '90.62', '88.45', '91.08', None]
['2018-05-23', 142859.85, '90.62', '88.45', '91.08', None]
['2018-05-23', 106914.79, '90.62', '88.45', '91.08', None]
['2018-05-24', 285036.0, '88.80', '88.74', '90.83', None]
['2018-05-24', 127118644.8, '88.80', '88.74', '90.83', None]
['2018-05-24', 186042.0, '88.80', '88.74', '90.83', None]
['2018-05-24', 331562974.95, '88.80', '88.74', '90.83', None]
['2018-05-24', 17488366.14, '88.80', '88.74', '90.83', None]
['2018-05-24', 13660809.37, '88.80', '88.74', '90.83', None]
['2018-05-25', 235618.5, '86.91', '88.48', '90.79', None]
['2018-05-25', 202130.0, '86.91', '88.48', '90.79', None]
['2018-05-25', 141629.95, '86.91', '88.48', '90.79', None]
['2018-05-29', 3243419.7, '85.69', '89.30', '92.02', None]
['2018-05-29', 668759.0, '85.69', '89.30', '92.02', None]
['2018-05-29', 139616.24, '85.69', '89.30', '92.02', None]
['2018-05-29', 10947457.51, '85.69', '89.30', '92.02', None]
['2018-05-30', 959245.0, '86.02', '87.00', '93.31', None]
['2018-05-30', 235618.5, '86.02', '87.00', '93.31', None]
['2018-05-30', 2653186.84, '86.02', '87.00', '93.31', None]
['2018-05-30', 225012.48, '86.02', '87.00', '93.31', None]
['2018-05-30', 28424215.9, '86.02', '87.00', '93.31', None]
['2018-05-30', 192867.84, '86.02', '87.00', '93.31', None]
['2018-05-31', 112315.0, '86.17', '82.44', '92.74', None]
['2018-05-31', 6233840.56, '86.17', '82.44', '92.74', None]
['2018-05-31', 842528.01, '86.17', '82.44', '92.74', None]
['2018-05-31', 248737.5, '86.17', '82.44', '92.74', None]
['2018-05-31', 223031.0, '86.17', '82.44', '92.74', None]
['2018-06-01', 218882.29, '85.18', '80.82', '90.98', None]
['2018-06-01', 375644.0, '85.18', '80.82', '90.98', None]
['2018-06-01', 147245.78, '85.18', '80.82', '90.98', None]
['2018-06-01', 6233840.56, '85.18', '80.82', '90.98', None]
['2018-06-02', 685975.59, '85.87', '81.64', '90.98', None]
['2018-06-04', 146878.54, '85.87', '81.64', '90.98', None]
['2018-06-04', 6233840.56, '85.87', '81.64', '90.98', None]
['2018-06-04', 117378.9, '85.87', '81.64', '90.98', None]
['2018-06-04', 126548.72, '85.87', '81.64', '90.98', None]
['2018-06-05', 167729.1, '85.87', '81.64', '91.23', None]
['2018-06-05', 1229570.39, '85.87', '81.64', '91.23', None]
['2018-06-05', 215398.23, '85.87', '81.64', '91.23', None]
['2018-06-06', 687825.71, '87.96', '82.15', '91.90', None]
['2018-06-06', 140121032.8, '87.96', '82.15', '91.90', None]
['2018-06-06', 6233840.56, '87.96', '82.15', '91.90', None]
['2018-06-06', 110387.76, '87.96', '82.15', '91.90', None]
['2018-06-06', 336755.73, '87.96', '82.15', '91.90', None]
['2018-06-07', 461248.15, '88.48', '82.15', '91.50', None]
['2018-06-08', 106393.77, '89.49', '82.40', '91.01', None]
['2018-06-08', 102660406.0, '89.49', '82.40', '91.01', None]
['2018-06-11', 118455.0, '87.87', '82.90', '87.64', None]
['2018-06-12', 5791325.38, '88.39', '81.65', '80.74', None]
['2018-06-13', 140121032.8, '88.45', '82.48', '80.02', None]
['2018-06-13', 4380707.0, '88.45', '82.48', '80.02', None]
['2018-06-13', 441096.0, '88.45', '82.48', '80.02', None]
['2018-06-13', 141701.98, '88.45', '82.48', '80.02', None]
['2018-06-14', 17060310.58, '88.74', '83.32', '79.54', None]
['2018-06-14', 38133190.76, '88.74', '83.32', '79.54', None]
['2018-06-15', 122008.29, '88.48', '82.50', '80.07', None]
['2018-06-15', 142025.74, '88.48', '82.50', '80.07', None]
['2018-06-18', 240000.0, '89.14', '82.92', '79.25', None]
['2018-06-18', 122077.4, '89.14', '82.92', '79.25', None]
['2018-06-18', 4869472.54, '89.14', '82.92', '79.25', None]
['2018-06-18', 343367.04, '89.14', '82.92', '79.25', None]
['2018-06-18', 144216.0, '89.14', '82.92', '79.25', None]
['2018-06-19', 94616892.28, '89.30', '81.64', '78.46', None]
['2018-06-19', 112927.96, '89.30', '81.64', '78.46', None]
['2018-06-19', 149244.0, '89.30', '81.64', '78.46', None]
['2018-06-19', 505663.56, '89.30', '81.64', '78.46', None]
['2018-06-19', 104603.88, '89.30', '81.64', '78.46', None]
['2018-06-19', 264414.4, '89.30', '81.64', '78.46', None]
['2018-06-20', 120295.98, '87.00', '82.69', '78.36', None]
['2018-06-21', 424757.91, '82.44', '82.45', '77.63', None]
['2018-06-21', 3949319.98, '82.44', '82.45', '77.63', None]
['2018-06-21', 29686704.27, '82.44', '82.45', '77.63', None]
['2018-06-21', 212427.12, '82.44', '82.45', '77.63', None]
['2018-06-21', 182363.14, '82.44', '82.45', '77.63', None]
['2018-06-22', 112927.96, '80.82', '83.67', '79.49', None]
['2018-06-22', 7166417.73, '80.82', '83.67', '79.49', None]
['2018-06-22', 140121032.8, '80.82', '83.67', '79.49', None]
['2018-06-25', 9522026.86, '81.64', '84.99', '79.55', None]
['2018-06-25', 265384.2, '81.64', '84.99', '79.55', None]
['2018-06-26', 114995.28, '82.15', '85.39', '81.48', None]
['2018-06-26', 150850.0, '82.15', '85.39', '81.48', None]
['2018-06-26', 174587.56, '82.15', '85.39', '81.48', None]
['2018-06-27', 147923.78, '82.15', '84.81', '81.58', None]
['2018-06-27', 9704263.35, '82.15', '84.81', '81.58', None]
['2018-06-28', 4933627.76, '82.40', '85.32', '80.53', None]
